Name,Commodities,Region,Emissions 
China (Coal),Coal,China,"276,4581st"
Nation State,,,
Former Soviet Union,"Coal, Oil & Natural Gas Liquids, Natural Gas",Former Soviet Union,"135,1132nd"
Nation State,,,
Saudi Aramco,"Oil & Natural Gas Liquids, Natural Gas",Saudi Arabia,"68,8323rd"
State-owned Entity,,,
Chevron,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"57,8984th"
Investor-owned Company,,,
ExxonMobil,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"55,1055th"
Investor-owned Company,,,
Gazprom,"Oil & Natural Gas Liquids, Natural Gas",Russian Federation,"50,6876th"
State-owned Entity,,,
National Iranian Oil Co.,"Oil & Natural Gas Liquids, Natural Gas",Iran,"43,1127th"
State-owned Entity,,,
BP,"Coal, Oil & Natural Gas Liquids, Natural Gas",UK,"42,5308th"
Investor-owned Company,,,
Shell,"Coal, Oil & Natural Gas Liquids, Natural Gas",UK,"40,6749th"
Investor-owned Company,,,
Coal India,Coal,India,"29,39110th"
State-owned Entity,,,
Poland,Coal,Poland,"28,75011th"
Nation State,,,
Pemex,"Oil & Natural Gas Liquids, Natural Gas",Mexico,"25,49712th"
State-owned Entity,,,
Russian Federation,Coal,Russian Federation,"23,41213th"
Nation State,,,
China (Cement),Cement,China,"23,16114th"
Nation State,,,
ConocoPhillips,"Oil & Natural Gas Liquids, Natural Gas",USA,"20,22215th"
Investor-owned Company,,,
British Coal Corporation,Coal,UK,"19,74516th"
State-owned Entity,,,
CNPC,"Oil & Natural Gas Liquids, Natural Gas",China,"18,95117th"
State-owned Entity,,,
Peabody Coal Group,Coal,USA,"17,73518th"
Investor-owned Company,,,
TotalEnergies,"Oil & Natural Gas Liquids, Natural Gas",France,"17,58419th"
Investor-owned Company,,,
Abu Dhabi National Oil Company,"Oil & Natural Gas Liquids, Natural Gas",United Arab Emirates,"17,38320th"
State-owned Entity,,,
Petroleos de Venezuela,"Oil & Natural Gas Liquids, Natural Gas",Venezuela,"16,90121st"
State-owned Entity,,,
Kuwait Petroleum Corp.,"Oil & Natural Gas Liquids, Natural Gas",Kuwait,"15,92222nd"
State-owned Entity,,,
Iraq National Oil Company,"Oil & Natural Gas Liquids, Natural Gas",Iraq,"15,18823rd"
State-owned Entity,,,
Sonatrach,"Oil & Natural Gas Liquids, Natural Gas",Algeria,"14,95524th"
State-owned Entity,,,
Rosneft,"Oil & Natural Gas Liquids, Natural Gas",Russian Federation,"14,12025th"
State-owned Entity,,,
Occidental Petroleum,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"12,90726th"
Investor-owned Company,,,
BHP,"Coal, Oil & Natural Gas Liquids, Natural Gas",Australia,"11,04227th"
Investor-owned Company,,,
Petrobras,"Oil & Natural Gas Liquids, Natural Gas",Brazil,"10,79928th"
State-owned Entity,,,
CONSOL Energy,"Coal, Oil & Natural Gas Liquids, Natural Gas",USA,"10,49029th"
Investor-owned Company,,,
Nigerian National Petroleum Corp.,"Oil & Natural Gas Liquids, Natural Gas",Nigeria,"10,24330th"
State-owned Entity,,,
Czechoslovakia,Coal,Czechslovakia,"9,61831st"
Nation State,,,
Petronas,"Oil & Natural Gas Liquids, Natural Gas",Malaysia,"9,13032nd"
State-owned Entity,,,
Eni,"Oil & Natural Gas Liquids, Natural Gas",Italy,"9,07533rd"
Investor-owned Company,,,
QatarEnergy,"Oil & Natural Gas Liquids, Natural Gas",Qatar,"8,40534th"
State-owned Entity,,,
Pertamina,"Oil & Natural Gas Liquids, Natural Gas",Indonesia,"8,27035th"
State-owned Entity,,,
Anglo American,Coal,UK,"8,16336th"
Investor-owned Company,,,
